timestamp,value,label
1546272000000,18304032.0,0.0
1546272300000,18458354.8,0.0
1546272600000,18612677.6,0.0
1546272900000,18705402.4,0.0
1546273200000,18705730.6,0.0
1546273500000,18706058.6,0.0
1546273800000,18706378.0,0.0
1546274100000,18706683.0,0.0
1546274400000,18706988.0,0.0
1546274700000,18707313.0,0.0
1546275000000,18707667.0,0.0
1546275300000,18708021.6,0.0
1546275600000,18708313.0,0.0
1546275900000,18708509.6,0.0
1546276200000,18708706.4,0.0
1546276500000,18709332.6,0.0
1546276800000,18710604.0,0.0
1546277100000,18711875.4,0.0
1546277400000,18712236.2,0.0
1546277700000,18711232.0,0.0
1546278000000,18710227.6,0.0
1546278300000,18709671.0,0.0
1546278600000,18709786.0,0.0
1546278900000,18709901.0,0.0
1546279200000,18710019.2,0.0
1546279500000,18710142.2,0.0
1546279800000,18710265.0,0.0
1546280100000,18701443.0,0.0
1546280400000,18679203.0,0.0
1546280700000,18656963.0,0.0
1546281000000,18684103.0,0.0
1546281300000,18785314.4,0.0
1546281600000,18886525.6,0.0
1546281900000,18912857.0,0.0
1546282200000,18826868.6,0.0
1546282500000,18740880.2,0.0
1546282800000,18665891.0,0.0
1546283100000,18607401.0,0.0
1546283400000,18548911.0,0.0
1546283700000,18540360.0,0.0
1546284000000,18606719.0,0.0
1546284300000,18673078.0,0.0
1546284600000,18713401.4,0.0
1546284900000,18714672.0,0.0
1546285200000,18715942.0,0.0
1546285500000,19053667.2,0.0
1546285800000,19896075.8,0.0
1546286100000,20738484.6,0.0
1546286400000,20903284.8,0.0
1546286700000,20051672.8,0.0
1546287000000,19200060.2,0.0
1546287300000,18639709.8,0.0
1546287600000,18516251.8,0.0
1546287900000,18392793.8,0.0
1546288200000,18368199.8,0.0
1546288500000,18491902.0,0.0
1546288800000,18615604.2,0.0
1546289100000,18689882.2,0.0
1546289400000,18690024.2,0.0
1546289700000,18690166.2,0.0
1546290000000,18693825.6,0.0
1546290300000,18702761.0,0.0
1546290600000,18711696.0,0.0
1546290900000,18717059.8,0.0
1546291200000,18717065.4,0.0
1546291500000,18717071.0,0.0
1546291800000,18717845.2,0.0
1546292100000,18719771.6,0.0
1546292400000,18721698.2,0.0
1546292700000,18725980.0,0.0
1546293000000,18733795.0,0.0
1546293300000,18741610.0,0.0
1546293600000,18697326.6,0.0
1546293900000,18574894.6,0.0
1546294200000,18452462.6,0.0
1546294500000,18431541.0,0.0
1546294800000,18562886.0,0.0
1546295100000,18694232.0,0.0
1546295400000,18773469.4,0.0
1546295700000,18774546.8,0.0
1546296000000,18775624.2,0.0
1546296300000,18786965.2,0.0
1546296600000,18813701.4,0.0
1546296900000,18840437.6,0.0
1546297200000,18862836.2,0.0
1546297500000,18878727.6,0.0
1546297800000,18894619.0,0.0
1546298100000,18903708.0,0.0
1546298400000,18902593.0,0.0
1546298700000,18901478.0,0.0
1546299000000,18900886.6,0.0
1546299300000,18901081.0,0.0
1546299600000,18901275.2,0.0
1546299900000,19256407.2,0.0
1546300200000,20143945.0,0.0
1546300500000,21031483.0,0.0
1546300800000,21183596.2,0.0
1546301100000,20232572.2,0.0
1546301400000,19281548.0,0.0
1546301700000,19074286.0,0.0
1546302000000,19982666.0,0.0
1546302300000,20891046.0,0.0
1546302600000,21109250.0,0.0
1546302900000,20292190.8,0.0
1546303200000,19475131.4,0.0
1546303500000,18974390.4,0.0
1546303800000,18948126.6,0.0
1546304100000,18921862.8,0.0
1546304400000,18946563.4,0.0
1546304700000,19047710.0,0.0
1546305000000,19148856.6,0.0
1546305300000,19169199.0,0.0
1546305600000,19068334.8,0.0
1546305900000,18967470.6,0.0
1546306200000,18903534.0,0.0
1546306500000,18894989.0,0.0
1546306800000,18886444.0,0.0
1546307100000,18884889.4,0.0
1546307400000,18893821.6,0.0
1546307700000,18902753.8,0.0
1546308000000,18855139.4,0.0
1546308300000,18722705.8,0.0
1546308600000,18590272.2,0.0
1546308900000,18563826.0,0.0
1546309200000,18696360.6,0.0
1546309500000,18828895.0,0.0
1546309800000,18908452.4,0.0
1546310100000,18908543.4,0.0
1546310400000,18908634.4,0.0
1546310700000,18908727.0,0.0
1546311000000,18908821.2,0.0
1546311300000,18908916.0,0.0
1546311600000,18905537.8,0.0
1546311900000,18896951.0,0.0
1546312200000,18888364.4,0.0
1546312500000,18907746.0,0.0
