timestamp,value,label
1564588800000,46.88,0.0
1564589100000,64.12,0.0
1564589400000,50.56,0.0
1564589700000,49.8,0.0
1564590000000,48.04,0.0
1564590300000,51.64,0.0
1564590600000,49.12,0.0
1564590900000,48.04,0.0
1564591200000,46.8,0.0
1564591500000,46.04,0.0
1564591800000,42.96,0.0
1564592100000,45.76,0.0
1564592400000,48.08,0.0
1564592700000,48.4,0.0
1564593000000,42.24,0.0
1564593300000,43.44,0.0
1564593600000,48.48,0.0
1564593900000,49.48,0.0
1564594200000,43.72,0.0
1564594500000,43.28,0.0
1564594800000,43.72,0.0
1564595100000,42.32,0.0
1564595400000,43.24,0.0
1564595700000,46.24,0.0
1564596000000,46.92,0.0
1564596300000,46.16,0.0
1564596600000,43.4,0.0
1564596900000,43.72,0.0
1564597200000,44.52,0.0
1564597500000,45.04,0.0
1564597800000,43.76,0.0
1564598100000,48.68,0.0
1564598400000,51.52,0.0
1564598700000,50.24,0.0
1564599000000,53.28,0.0
1564599300000,54.96,0.0
1564599600000,59.92,0.0
1564599900000,64.08,0.0
1564600200000,57.76,0.0
1564600500000,56.36,0.0
1564600800000,53.96,0.0
1564601100000,54.72,0.0
1564601400000,47.84,0.0
1564601700000,46.52,0.0
1564602000000,46.52,0.0
1564602300000,45.44,0.0
1564602600000,43.96,0.0
1564602900000,43.48,0.0
1564603200000,44.36,0.0
1564603500000,49.6,0.0
1564603800000,53.08,0.0
1564604100000,52.04,0.0
1564604400000,44.68,0.0
1564604700000,38.92,0.0
1564605000000,39.36,0.0
1564605300000,49.6,0.0
1564605600000,50.28,0.0
1564605900000,37.36,0.0
1564606200000,37.2,0.0
1564606500000,37.96,0.0
1564606800000,43.68,0.0
1564607100000,45.2,0.0
1564607400000,36.88,0.0
1564607700000,36.4,0.0
1564608000000,38.52,0.0
1564608300000,36.52,0.0
1564608600000,37.48,0.0
1564608900000,37.08,0.0
1564609200000,38.68,0.0
1564609500000,36.04,0.0
1564609800000,39.04,0.0
1564610100000,31.96,0.0
1564610400000,30.72,0.0
1564610700000,30.36,0.0
1564611000000,34.84,0.0
1564611300000,31.6,0.0
1564611600000,38.2,0.0
1564611900000,35.6,0.0
1564612200000,34.32,0.0
1564612500000,31.2,0.0
1564612800000,28.48,0.0
1564613100000,25.6,0.0
1564613400000,27.08,0.0
1564613700000,27.6,0.0
1564614000000,28.08,0.0
1564614300000,30.64,0.0
1564614600000,28.8,0.0
1564614900000,31.0,0.0
1564615200000,28.08,0.0
1564615500000,27.52,0.0
1564615800000,27.28,0.0
1564616100000,27.64,0.0
1564616400000,29.0,0.0
1564616700000,28.04,0.0
1564617000000,28.32,0.0
1564617300000,26.64,0.0
1564617600000,30.48,0.0
1564617900000,30.76,0.0
1564618200000,29.8,0.0
1564618500000,28.32,0.0
1564618800000,30.04,0.0
1564619100000,30.52,0.0
1564619400000,30.2,0.0
1564619700000,31.4,0.0
1564620000000,35.16,0.0
1564620300000,36.56,0.0
1564620600000,34.2,0.0
1564620900000,36.44,0.0
1564621200000,36.12,0.0
1564621500000,38.08,0.0
1564621800000,39.4,0.0
1564622100000,40.08,0.0
1564622400000,48.16,0.0
1564622700000,60.4,0.0
1564623000000,56.44,0.0
1564623300000,67.88,0.0
1564623600000,71.68,0.0
1564623900000,66.92,0.0
1564624200000,53.12,0.0
1564624500000,50.56,0.0
1564624800000,77.52,0.0
1564625100000,51.68,0.0
1564625400000,48.48,0.0
1564625700000,47.28,0.0
1564626000000,51.32,0.0
1564626300000,52.36,0.0
1564626600000,46.08,0.0
1564626900000,40.04,0.0
1564627200000,45.88,0.0
1564627500000,44.24,0.0
1564627800000,51.36,0.0
1564628100000,47.48,0.0
1564628400000,48.84,0.0
1564628700000,40.12,0.0
1564629000000,38.72,0.0
1564629300000,42.52,0.0
1564629600000,36.84,0.0
1564629900000,38.72,0.0
1564630200000,38.2,0.0
1564630500000,42.84,0.0
1564630800000,35.12,0.0
1564631100000,38.56,0.0
1564631400000,34.24,0.0
1564631700000,34.96,0.0
1564632000000,67.88,0.0
1564632300000,69.72,0.0
1564632600000,53.6,0.0
1564632900000,36.92,0.0
1564633200000,42.68,0.0
1564633500000,41.68,0.0
1564633800000,41.28,0.0
1564634100000,33.24,0.0
1564634400000,33.88,0.0
1564634700000,33.88,0.0
1564635000000,31.56,0.0
1564635300000,33.84,0.0
1564635600000,38.72,0.0
1564635900000,49.44,0.0
1564636200000,63.56,0.0
1564636500000,77.56,0.0
1564636800000,71.32,0.0
1564637100000,39.92,0.0
1564637400000,58.68,0.0
1564637700000,132.36,0.0
1564638000000,112.44,0.0
1564638300000,134.6,0.0
1564638600000,128.68,0.0
1564638900000,144.36,0.0
1564639200000,152.2,0.0
1564639500000,145.6,0.0
1564639800000,77.2,0.0
1564640100000,61.12,0.0
1564640400000,74.24,0.0
1564640700000,61.36,0.0
1564641000000,63.76,0.0
1564641300000,65.84,0.0
1564641600000,65.6,0.0
1564641900000,66.76,0.0
1564642200000,69.84,0.0
1564642500000,63.12,0.0
1564642800000,69.2,0.0
1564643100000,63.96,0.0
1564643400000,64.04,0.0
1564643700000,67.52,0.0
1564644000000,73.68,0.0
1564644300000,80.72,0.0
1564644600000,66.32,0.0
1564644900000,65.72,0.0
1564645200000,68.36,0.0
1564645500000,74.52,0.0
1564645800000,69.52,0.0
1564646100000,67.6,0.0
1564646400000,60.44,0.0
1564646700000,70.44,0.0
1564647000000,57.28,0.0
1564647300000,49.68,0.0
1564647600000,54.88,0.0
1564647900000,63.52,0.0
1564648200000,59.24,0.0
1564648500000,52.84,0.0
1564648800000,39.12,0.0
1564649100000,48.2,0.0
1564649400000,47.64,0.0
1564649700000,54.24,0.0
1564650000000,54.96,0.0
1564650300000,48.68,0.0
1564650600000,51.16,0.0
1564650900000,45.64,0.0
1564651200000,49.24,0.0
1564651500000,53.6,0.0
1564651800000,69.36,0.0
1564652100000,66.76,0.0
1564652400000,74.6,0.0
1564652700000,57.08,0.0
1564653000000,60.56,0.0
1564653300000,60.84,0.0
1564653600000,70.48,0.0
1564653900000,66.16,0.0
1564654200000,64.4,0.0
1564654500000,62.24,0.0
1564654800000,58.52,0.0
1564655100000,60.0,0.0
1564655400000,55.84,0.0
1564655700000,54.64,0.0
1564656000000,48.6,0.0
1564656300000,46.52,0.0
1564656600000,48.52,0.0
1564656900000,55.12,0.0
1564657200000,61.36,0.0
1564657500000,62.28,0.0
1564657800000,55.68,0.0
1564658100000,51.96,0.0
1564658400000,37.4,0.0
1564658700000,42.96,0.0
1564659000000,42.2,0.0
1564659300000,38.28,0.0
1564659600000,41.04,0.0
1564659900000,37.52,0.0
1564660200000,36.48,0.0
1564660500000,40.2,0.0
1564660800000,41.68,0.0
1564661100000,40.12,0.0
1564661400000,40.52,0.0
1564661700000,45.56,0.0
1564662000000,40.32,0.0
1564662300000,43.6,0.0
1564662600000,42.16,0.0
1564662900000,42.84,0.0
1564663200000,39.04,0.0
1564663500000,38.68,0.0
1564663800000,40.4,0.0
1564664100000,39.92,0.0
1564664400000,44.6,0.0
1564664700000,43.2,0.0
1564665000000,37.92,0.0
1564665300000,32.6,0.0
1564665600000,34.52,0.0
1564665900000,34.8,0.0
1564666200000,38.68,0.0
1564666500000,41.12,0.0
1564666800000,37.56,0.0
1564667100000,44.16,0.0
1564667400000,42.96,0.0
1564667700000,46.56,0.0
1564668000000,52.48,0.0
1564668300000,52.6,0.0
1564668600000,52.76,0.0
1564668900000,53.0,0.0
1564669200000,58.24,0.0
1564669500000,51.72,0.0
1564669800000,44.88,0.0
1564670100000,39.92,0.0
1564670400000,43.2,0.0
1564670700000,45.36,0.0
1564671000000,57.6,0.0
1564671300000,64.68,0.0
1564671600000,61.76,0.0
1564671900000,53.6,0.0
1564672200000,53.32,0.0
1564672500000,60.12,0.0
1564672800000,65.88,0.0
1564673100000,58.92,0.0
1564673400000,49.12,0.0
1564673700000,46.68,0.0
1564674000000,46.24,0.0
1564674300000,45.44,0.0
1564674600000,45.0,0.0
1564674900000,45.04,0.0
1564675200000,57.72,0.0
1564675500000,54.88,0.0
1564675800000,39.76,0.0
1564676100000,45.6,0.0
1564676400000,41.04,0.0
1564676700000,45.8,0.0
1564677000000,40.68,0.0
1564677300000,40.24,0.0
1564677600000,39.16,0.0
1564677900000,38.56,0.0
1564678200000,36.96,0.0
1564678500000,37.6,0.0
1564678800000,53.28,0.0
1564679100000,54.56,0.0
1564679400000,48.24,0.0
1564679700000,49.4,0.0
1564680000000,42.8,0.0
1564680300000,40.52,0.0
1564680600000,38.56,0.0
1564680900000,39.08,0.0
1564681200000,37.24,0.0
1564681500000,36.64,0.0
1564681800000,36.8,0.0
1564682100000,36.88,0.0
1564682400000,41.68,0.0
1564682700000,41.96,0.0
1564683000000,43.72,0.0
1564683300000,41.76,0.0
1564683600000,32.52,0.0
1564683900000,35.8,0.0
1564684200000,33.92,0.0
1564684500000,36.8,0.0
1564684800000,43.24,0.0
1564685100000,39.24,0.0
1564685400000,41.16,0.0
1564685700000,39.96,0.0
1564686000000,44.6,0.0
1564686300000,37.2,0.0
1564686600000,33.96,0.0
1564686900000,32.48,0.0
1564687200000,34.84,0.0
1564687500000,36.76,0.0
1564687800000,35.04,0.0
1564688100000,35.64,0.0
1564688400000,32.64,0.0
1564688700000,31.28,0.0
1564689000000,33.56,0.0
1564689300000,31.64,0.0
1564689600000,36.04,0.0
1564689900000,56.96,0.0
1564690200000,48.52,0.0
1564690500000,38.16,0.0
1564690800000,40.68,0.0
1564691100000,37.4,0.0
1564691400000,35.28,0.0
1564691700000,32.36,0.0
1564692000000,36.84,0.0
1564692300000,31.6,0.0
1564692600000,31.92,0.0
1564692900000,30.24,0.0
1564693200000,41.16,0.0
1564693500000,36.8,0.0
1564693800000,32.04,0.0
1564694100000,31.08,0.0
1564694400000,30.4,0.0
1564694700000,31.28,0.0
1564695000000,33.24,0.0
1564695300000,32.04,0.0
1564695600000,40.96,0.0
1564695900000,40.44,0.0
1564696200000,42.56,0.0
1564696500000,37.88,0.0
1564696800000,36.76,0.0
1564697100000,29.88,0.0
1564697400000,31.12,0.0
1564697700000,29.92,0.0
1564698000000,29.44,0.0
1564698300000,31.44,0.0
1564698600000,33.12,0.0
1564698900000,30.16,0.0
1564699200000,29.84,0.0
1564699500000,30.84,0.0
1564699800000,30.08,0.0
1564700100000,26.96,0.0
1564700400000,29.24,0.0
1564700700000,31.44,0.0
1564701000000,26.64,0.0
1564701300000,27.52,0.0
1564701600000,31.44,0.0
1564701900000,29.92,0.0
1564702200000,30.24,0.0
1564702500000,27.48,0.0
1564702800000,26.8,0.0
1564703100000,28.32,0.0
1564703400000,28.68,0.0
1564703700000,28.52,0.0
1564704000000,31.84,0.0
1564704300000,34.44,0.0
1564704600000,33.16,0.0
1564704900000,26.88,0.0
1564705200000,29.76,0.0
1564705500000,33.16,0.0
1564705800000,32.08,0.0
1564706100000,34.2,0.0
1564706400000,32.76,0.0
1564706700000,29.8,0.0
1564707000000,29.8,0.0
1564707300000,30.44,0.0
1564707600000,36.2,0.0
1564707900000,59.08,0.0
1564708200000,58.48,0.0
1564708500000,65.28,0.0
1564708800000,64.16,0.0
1564709100000,59.24,0.0
1564709400000,45.24,0.0
1564709700000,43.84,0.0
1564710000000,45.16,0.0
1564710300000,41.28,0.0
1564710600000,44.76,0.0
1564710900000,46.08,0.0
1564711200000,62.48,0.0
1564711500000,50.28,0.0
1564711800000,57.92,0.0
1564712100000,41.8,0.0
1564712400000,44.0,0.0
1564712700000,43.36,0.0
1564713000000,41.76,0.0
